NÚMERO;NIF;DENOMINACION;TIPO_ENTIDADE;MODALIDADES;ESPECIALIDADES;ENDEREZO;CP;CÓDIGO ;PROVINCIA;CÓDIGO CONCELLO;CONCELLO;TELÉFONO 1;TELÉFONO 2;PÁXINA WEB;FECHA_ALTA
C-12132;;CLUB SLOTMAIOR;CLUB DEPORTIVO;AUTOMODELISMO/RADIOCONTROL;; AVDA. CASTELAO, Nº 132;;36;PONTEVEDRA;36053;SOUTOMAIOR;659423494;;;28/11/2014
C-14234;G16701393;BARBAÑAS F.C.;CLUB DEPORTIVO;FÚTBOL SALA;; R/ AVENIDA DE PORTUGAL, Nº 77 - 2º;;32;OURENSE;32054;OURENSE;666218461;673705754;;17/08/2021
C-00424;G36692317;C. D. BOSCO DE VIGO;CLUB DEPORTIVO;BALONCESTO;BALONCESTO; RONDA DON BOSCO 33 BJnull;36202;36;PONTEVEDRA;36057;VIGO;649419888;;;11/12/1984
C-06131;G32462301;COTO DE CAZA DE PADERNE;CLUB DEPORTIVO;CAZA;; FIGUEIREDO;;32;OURENSE;32055;PADERNE DE ALLARIZ;650773789;617624970;;26/02/1999
C-09054;G32358186;ASOCIACIÓN BALONCESTO XINZO;CLUB DEPORTIVO;BALONCESTO;; RUA R/ SERRA DE QUEIXA 43;32630;32;OURENSE;32032;XINZO DE LIMIA;630328528;630328528;;06/10/2006
C-07777;G27304104;SOCIEDADE DEPORTIVA DE CAZADORES CARBALLIDO BOVEDA;CLUB DEPORTIVO;CAZA;; RONDA  MURALLA 50 3A;27002;27;LUGO;27028;LUGO;626182870;;;01/07/2003
C-14238;G16817223;CLUBE DEPORTIVO GHARABOTO;CLUB DEPORTIVO;BILLARDA, PETANCA, CHAVE;; IGLESARIO, Nº 50;;36;PONTEVEDRA;36026;MARÍN;627752887;;;19/08/2021
C-09498;G27367226;CLUB BOLOS O CADAVAL;CLUB DEPORTIVO;BILLARDA, CHAVE, BOLOS;; POZO, 2;;27;LUGO;27010;CASTRO DE REI;626375161;982170653;;09/10/2007
C-12090;G27462647;CLUB XIMNASIA VIVEIRO;CLUB DEPORTIVO;XIMNASIA;; RUA OUTEIRO 7 7;27863;27;LUGO;27066;VIVEIRO;658968527;670953517;;23/10/2014
C-14236;G16676793;SLOT CLUB PORRIÑO;CLUB DEPORTIVO;AUTOMODELISMO/RADIOCONTROL;; RÚA OURENSE, Nº 2 SÓTANO;;36;PONTEVEDRA;36039;PORRIÑO, O;626118119;;;18/08/2021
C-06548;G32264814;UNIÓN DEPORTIVA BARBADÁS;CLUB DEPORTIVO;FÚTBOL;; RUA SAN BERNABÉ  37;32890;32;OURENSE;32008;BARBADÁS;629856224;617413212;;16/03/2000
C-01684;G36246858;C. BALONMANO PORRIÑO;CLUB DEPORTIVO;BALONMÁN;; RUA DOANTES DE SANGUE  SN;36400;36;PONTEVEDRA;36039;PORRIÑO, O;666493089;655853378;;28/11/1988
C-06938;;SOCIEDADE DEPORTIVA DE CAZADORES PONTILLÓN DO CASTRO;CLUB DEPORTIVO;CAZA;; CAMIÑO DO OUTEIRO 5;36163;36;PONTEVEDRA;36041;POIO;636640886;;;13/03/2001
C-05812;G27230937;C. DE CAZADORES SANTA MARIA DE XIAN;CLUB DEPORTIVO;CAZA;; FENTEIRA 2;27557;27;LUGO;27060;TABOADA;615411322;;;01/06/1998
C-13644;;EQUIPO ECUESTRE DV;CLUB DEPORTIVO;HÍPICA;DOMA CLÁSICA; CAMIÑO CAPELA S/N;36313;36;PONTEVEDRA;36057;VIGO;986223985;;;24/04/2019
C-07711;G36444446;CLUB FUTBOL BASE POIO;CLUB DEPORTIVO;FÚTBOL;; CAMIÑO A REIBOA,  8;36995;36;PONTEVEDRA;36041;POIO;606257171;629007287;;25/04/2003
C-04288;G36213916;MARÍN FUTSAL;CLUB DEPORTIVO;FÚTBOL;; RUA CALLE MENDEZ NÚÑEZ 39 4A;36900;36;PONTEVEDRA;36026;MARÍN;647722110;;www.marinfutsal.es;15/04/1994
X-14232;;ASOCIACIÓN AGUAS ABIERTAS DE GALICIA;SECCIÓN DEPORTIVA;NATACIÓN, DEPORTE XERAL;TRÍATLON; RÚA ENRIQUE MACIÍAS, Nº 5, 5º D;;36;PONTEVEDRA;36057;VIGO;647995187;647995187;;16/08/2021
C-11099;;THC  BIKE;CLUB DEPORTIVO;CICLISMO;; RUA FRAGATA VILLA DE MADRId 10 1;36950;36;PONTEVEDRA;36029;MOAÑA;698157810;;;16/01/2012
C-09550;G36576353;CLUB KENPO VILAGARCÍA;CLUB DEPORTIVO;LOITA E D.A., KARATE, DEPORTE XERAL;RING SPORT FULLCONTACT, JIU-JITSU, AIKIDO, KENDO; AVENIDA DA MARIÑA 26 3A;36600;36;PONTEVEDRA;36060;VILAGARCÍA DE AROUSA;628127769;629747464;;22/11/2007
C-08657;G27379478;TAEKWONDO NEKA MONFORTE;CLUB DEPORTIVO;TAEKWONDO, BOXEO;; RUA SAN PEDRO 73 BAIXOnull;27400;27;LUGO;27031;MONFORTE DE LEMOS;982405057;982405057;;19/10/2005
C-00761;G27134477;GRUPO DE ESPELEOLOXIA LUGO;CLUB DEPORTIVO;ESPELEOLOXÍA;; RUA NICOMEDES PASTOR DIAZ  14 1A;27001;27;LUGO;27028;LUGO;637758452;982255020;;25/02/1986
C-03550;G36153070;C. D. ESTRADENSE;CLUB DEPORTIVO;FÚTBOL, BALONMÁN, BALONCESTO;; AVENIDA AVD. DA CULTURA S/N-NOVO CAMPO MUNICIPAL (TERREOS AGASP);36680;36;PONTEVEDRA;36017;ESTRADA, A;606444471;;;09/04/1992
C-07232;G32117772;UNION DEPORTIVA LOBIOS;CLUB DEPORTIVO;FÚTBOL;; CARRETERA DE PORTUGAL 45;32870;32;OURENSE;32042;LOBIOS;988302874;650510009;;23/10/2001
C-08547;G36174829;ARBO C.F.;CLUB DEPORTIVO;FÚTBOL;; RUA RÚA TORGAN Nº 56 (CAMPO DE FUTBOL MUNICIPAL);36430;36;PONTEVEDRA;36001;ARBO;652272295;;;05/07/2005
C-07391;;CLUB RACING DE VILARIÑO;CLUB DEPORTIVO;FÚTBOL;; RUA ANA ISABEL COSTAS PIÑEIRO 31;36379;36;PONTEVEDRA;36035;NIGRÁN;678396840;;;02/05/2002
C-13690;G70592316;CLUB NÁUTICO RECREATIVO DE SADA 2019;CLUB DEPORTIVO;VELA, REMO, PESCA E CASTING, ACTIVIDADES SUBACUÁTICAS;VELA LIXEIRA INDIVIDUAL; AVENIDA DO PORTO S/N;;15;A CORUÑA;15075;SADA;600555951;600555951;;12/06/2019
C-02047;G36109163;LEIS 26 FÚTBOL SALA;CLUB DEPORTIVO;FÚTBOL;FÚTBOL SALA; RUA Juan Manuel Pintos sn;36005;36;PONTEVEDRA;36038;PONTEVEDRA;630782647;;;17/04/1989
C-14235;G06924823;MORRAZO 4X4 OFF ROAD;CLUB DEPORTIVO;AUTOMOBILISMO;TRIAL; AVDA. DE LUGO, Nº 13, 1º A;;36;PONTEVEDRA;36008;CANGAS;647409013;;;18/08/2021
C-06877;G27265099;SOCIEDADE DEPORTIVA DE CAZADORES RIVEIRA DO MIÑO;CLUB DEPORTIVO;CAZA;; LUGAR FRANCOS 3;27186;27;LUGO;27023;GUNTÍN;687143997;;;19/01/2001
C-14231;G06977409;ASOCIACIÓN DEPORTIVA GALLEGA TECNIFÍCAT;CLUB DEPORTIVO;FÚTBOL SALA;; RÚA ECUADOR, Nº 30, 5º C;;36;PONTEVEDRA;36057;VIGO;620885633;;;04/08/2021
C-02459;G27114693;CLUB SOCIEDAD DEPORTIVA Y CULTURAL SAN ROQUE;CLUB DEPORTIVO;FÚTBOL;FÚTBOL SALA; RUA MONTIRÓN 40 BAIXOnull;27002;27;LUGO;27028;LUGO;610242162;647904838;;03/01/1990
C-11109;G94023512;ASOCIACIÓN DEPORTIVA CULTURAL SINCRO BURBULLAS DE A ESTRADA;CLUB DEPORTIVO;NATACIÓN;;" ""PABELLÓN COTO FERREIRO""";;36;PONTEVEDRA;36017;ESTRADA, A;625404190;;;23/01/2012
C-14226;;SEIXOS, CLUBE DAS SENDAS ENXEBRES;CLUB DEPORTIVO;MONTAÑISMO;CARREIRAS; AVENIDA FEIRACO, 29, 4º;;15;A CORUÑA;15056;NEGREIRA;605431363;605431363;;22/07/2021
C-02012;G27106749;CLUB NATACION XOVE;CLUB DEPORTIVO;NATACIÓN;; LUGAR CENTRO CÍVICO S/N;27870;27;LUGO;27025;XOVE;982592001;666934181;;31/03/1989
C-14225;;CLUB NATACIÓN SANTA CRISTINA SWIM;CLUB DEPORTIVO;NATACIÓN;; PRAZA FEDERICO GARCÍA, 5, 3ºC;;15;A CORUÑA;15030;CORUÑA, A;636735423;636735423;;21/07/2021
C-03328;G27147255;CLUB DE AEROMODELISMO LAVANCO;CLUB DEPORTIVO;DEPORTES AÉREOS;; CASTELAO, 48 BAIXO;;27;LUGO;27028;LUGO;982809015;;;29/11/1991
C-14224;G15455355;SOCIEDADE CINEXÉTICA DE MONTEMAIOR;CLUB DEPORTIVO;CAZA;; BATALO, 6;15145;15;A CORUÑA;15041;LARACHA, A;676176448;676176448;;21/07/2021
C-14222;G16739245;CLUB XADREZ AS BURGAS;CLUB DEPORTIVO;XADREZ;; RUA Carmen Legisima, 5  4 A;32003;32;OURENSE;32054;OURENSE;686961528;686961528;www.xadrezasburgas.net;19/07/2021
C-09719;G70160114;CLUB DE HOCKEY COMPOSTELA;CLUB DEPORTIVO;HOCKEY, PATINAXE;; RUA VALIÑO 69 2G;15703;15;A CORUÑA;15078;SANTIAGO DE COMPOSTELA;616550004;659233618;;07/04/2008
C-05895;G15700784;CAMPO DA ANGUSTIA F. C.;CLUB DEPORTIVO;FÚTBOL;; RÚA BETANZOS, 12 - 1º ESQ.;;15;A CORUÑA;15078;SANTIAGO DE COMPOSTELA;680200570;;;24/07/1998
C-02530;G27139609;S. DE CAZADORES A CARBALLA - OROL;CLUB DEPORTIVO;CAZA;RECORRIDOS DE CAZA; LUGAR MESÓN 6;27865;27;LUGO;27038;OUROL;687606743;626471779;;22/01/1990
C-14220;G16728024;CLUB ESGRIMA ARTEIXO;CLUB DEPORTIVO;ESGRIMA;; RUA ÁNGEL DEL CASTILLO LÓPEZ, 18;15142;15;A CORUÑA;15005;ARTEIXO;696491675;696491675;;15/07/2021
C-14219;;BILLARDA APB A LARACHA;CLUB DEPORTIVO;BILLARDA;; RÚA JOSÉ MANUEL FERREIRA PENEDO;;15;A CORUÑA;15041;LARACHA, A;650616722;650616722;;14/07/2021
C-10487;G27408608;CLUB AS CAÑOTAS DE VILALBA;CLUB DEPORTIVO;AUTOMOBILISMO;; RUA DAS PEDREIRAS 20 3D;27800;27;LUGO;27065;VILALBA;669372527;639625590;;28/05/2010
C-13953;G01816644;CENTED ACADEMY FOOTBALL SCHOOL;CLUB DEPORTIVO;FÚTBOL, BOLOS, DEPORTE XERAL;; AVENIDA DAS CALDAS, Nº51 - P4;32001;32;OURENSE;32054;OURENSE;671787412;640726326;;18/05/2020
C-03609;G15275001;SOCIEDADE DEPORTIVA DE CAZA SAN MAMED DE SALGUEIROS DUMBRÍA;CLUB DEPORTIVO;CAZA;; CODESOS, 19;15151;15;A CORUÑA;15023;CEE;646436920;;;22/06/1992
C-14218;G06938195;CENTRO ECUESTRE RIBEIRA SACRA;CLUB DEPORTIVO;HÍPICA;; A MORA - VILAR DE ORTELLE;;27;LUGO;27041;PANTÓN;615633669;;;09/07/2021
C-03086;G15262058;C. ATLETICO SAN PEDRO;CLUB DEPORTIVO;FÚTBOL;; SALVADOR ALLENDE, 87. VILANOVA;15176;15;A CORUÑA;15058;OLEIROS;676654580;981665038;;02/05/1991
C-07967;G32314999;BALONMÁN PABELLÓN OURENSE;CLUB DEPORTIVO;BALONMÁN;; RUA PARDO DE CELA, 2 2;32003;32;OURENSE;32054;OURENSE;651681089;651681089;;24/11/2003
C-14217;;CLUB DE ACTIVIDADES SUBACUÁTICAS SCUBA GALICIA PRO DIVE CENTER;CLUB DEPORTIVO;ACTIVIDADES SUBACUÁTICAS;; AVENIDA DE REDES, 26;;15;A CORUÑA;15030;CORUÑA, A;622397102;622397102;;08/07/2021
C-08913;G70054705;CLUB CIDADE DE NARÓN;CLUB DEPORTIVO;DEPORTE XERAL;; ESTRADA DA GÁNDARA 148;15570;15;A CORUÑA;15054;NARÓN;609946781;636968998;;30/05/2006
C-14215;G02935450;CLUB DE PESCA RIO NEIRA;CLUB DEPORTIVO;PESCA E CASTING;; AVDA. VALDRIZ, 16 BAIXO;;27;LUGO;27026;LÁNCARA;661464557;661464557;;08/07/2021
C-01659;G32101644;C. BALONCESTO ALLARIZ;CLUB DEPORTIVO;BALONCESTO, ATLETISMO;; BAIXADA Grupo Escolar S/N;32660;32;OURENSE;32001;ALLARIZ;679944625;649060779;;04/11/1988
C-00277;G32031155;CLUB HOCKEY ALBOR;CLUB DEPORTIVO;HOCKEY;; RUA GREGORIO FERNANDEZ 16 null2D;32002;32;OURENSE;32054;OURENSE;677403186;609817535;www.chalbor.es;28/05/1984
C-14214;;TWELVE PADEL ZENTER CLUB;CLUB DEPORTIVO;PÁDEL, VOLEIBOL, TENIS, FÚTBOL, BALONMÁN, BALONCESTO, BÁDMINTON, DEPORTE XERAL;FÚTBOL PRAIA, VOLEY-PRAIA; CAMIÑO DEVESA Nº 19;;36;PONTEVEDRA;36057;VIGO;627921368;660749537;;07/07/2021
C-06278;G27189265;SOCIEDADE DE CAZADORES NEIRA DE REI;CLUB DEPORTIVO;CAZA;; O RETIRO, 4;;27;LUGO;27901;BARALLA;687350584;;;30/07/1999
C-08542;G70004098;SOCIEDADE DEPORTIVA DE CAZADORES DE SAN SADURNIÑO;CLUB DEPORTIVO;CAZA;; LUGAR Fontevella, 28;15510;15;A CORUÑA;15055;NEDA;648669529;648669529;;27/06/2005
C-00859;;S. DE CAZA E PESCA DE LALIN;CLUB DEPORTIVO;TIRO OLÍMPICO, PESCA E CASTING, CAZA;AUGA DOCE; RÚA SESTOS, Nº 2;;36;PONTEVEDRA;36024;LALÍN;639889690;;;20/06/1986
C-12650;G94140704;CLUB DE TENIS DE MESA RC A ESTRADA;CLUB DEPORTIVO;TENIS DE MESA;; LG. MONTECELO S/N;;36;PONTEVEDRA;36017;ESTRADA, A;986570037;986570037;;18/05/2016
C-01096;G36435758;CLUB DE TENIS RECREO CULTURAL;CLUB DEPORTIVO;XADREZ, TENIS DE MESA, TENIS, NATACIÓN, BALONMÁN, BALONCESTO;; LUGAR MONTECELO, S/N;36682;36;PONTEVEDRA;36017;ESTRADA, A;606426389;986570037;;09/04/1987
C-13937;G27009463;S.D. SAN LAZARO;CLUB DEPORTIVO;FÚTBOL;; LUGAR VILAESTÉVEZ - SAN XOAN DO ALTO CAMPO DE A PONTE S/N;27004;27;LUGO;27028;LUGO;657818100;654818100;;27/02/2020
C-03699;G15395791;"SOCIEDADE DEPORTIVA CULTURAL E RECREATIVA NARÓN ""O FREIXO""";CLUB DEPORTIVO;KICKBOXING E MUAYTHAI, XIMNASIA, VOLEIBOL, PATINAXE, NATACIÓN, KARATE, JUDO E D.A., FÚTBOL, CICLISMO, BOXEO, BALONMÁN, BALONCESTO, ATLETISMO, ACTIVIDADES SUBACUÁTICAS, DEPORTE XERAL;XIMNASIA ARTÍSTICA, XIMNASIA RÍTMICA, TRÍATLON, DUATLÓN, PATINAXE VELOCIDADE, PATINAXE ARTÍSTICO, WATERPOLO, SKATEBOARDING; RUA RUA VESPASANTE, 17 - 19  BAIXO;15570;15;A CORUÑA;15054;NARÓN;606695253;;;14/11/1992
C-14213;;ESCUELA PIRAGÜISMO VALDEORRAS;CLUB DEPORTIVO;PIRAGÜISMO;; R/ EULOGIO FERNÁNDEZ, 77 - 4ºA;;32;OURENSE;32009;BARCO DE VALDEORRAS, O;617594944;617594944;;29/06/2021
C-14212;G15149438;FLAVIA S.D.;CLUB DEPORTIVO;FÚTBOL;; CAMPO DO SOUTO, SN;;15;A CORUÑA;15065;PADRÓN;649194972;649194972;;29/06/2021
C-14211;;CLUB DEPORTIVO FILLOAS DE SANGUE;CLUB DEPORTIVO;BILLARDA;; RONDA DE OUTEIRO, 396, SEMISOTO;;15;A CORUÑA;15030;CORUÑA, A;605482312;605482312;;28/06/2021
C-03807;;ATLETICO FAXILDE C.F.;CLUB DEPORTIVO;FÚTBOL;; CAMIÑO ROI LOIS 24;36611;36;PONTEVEDRA;36060;VILAGARCÍA DE AROUSA;626222306;;;26/02/1993
C-13138;G70542378;CLUB CICLISTA BICI TOUPAS;CLUB DEPORTIVO;CICLISMO;; CAMPO DA ESTRELA, 1 - 1º;;15;A CORUÑA;15078;SANTIAGO DE COMPOSTELA;662240424;659330435;;21/11/2017
C-12924;G94153442;VILAROUSA GIMNASIA;CLUB DEPORTIVO;XIMNASIA;XIMNASIA RÍTMICA; AVENIDA DA PONTE 17;36626;36;PONTEVEDRA;36901;ILLA DE AROUSA, A;648190800;;;04/05/2017
C-06925;;XADREZ LUCENA;CLUB DEPORTIVO;XADREZ;; RUA REISEÑOR 15;36205;36;PONTEVEDRA;36057;VIGO;986260259;986260259;;05/03/2001
S-14023;B01678937;CLUB DE CAMPO GOLF DE XAZ S.L.;ENTIDADE MERCANTIL;PÁDEL, TENIS, NATACIÓN, GOLF;; RUA RUA CASTRO DE XAZ 18;15178;15;A CORUÑA;15058;OLEIROS;981552919;981257481;;10/09/2020
C-01697;G27041490;CLUB EMEVE;CLUB DEPORTIVO;VOLEIBOL;; RUA  RIO SIL 54 7c;27003;27;LUGO;27028;LUGO;697158605;;;28/11/1988
C-14208;G06943955;PGM MOTORSPORTS;CLUB DEPORTIVO;AUTOMOBILISMO;; RONDA DAS FONTIÑAS, 87 - 6ºA;;27;LUGO;27028;LUGO;652049868;652049868;;25/06/2021
C-11828;G27453737;CLUB SQUADRA RACING;CLUB DEPORTIVO;AUTOMOBILISMO;; AVDA. DE A CORUÑA, 117 BAIXO;;27;LUGO;27056;RÁBADE;982390829;636708527;;29/01/2014
C-02952;G27136670;CLUB SOCIEDAD DEPORTIVA BECERREA;CLUB DEPORTIVO;FÚTBOL, BALONMÁN, BALONCESTO, ATLETISMO;; CAMPO DE FUTBOL MUNICIPAL S/N;27640;27;LUGO;27006;BECERREÁ;691207473;982360039;;07/02/1991
C-12212;FERNANDEZ;CLUB CICLISTA LA VIVARIENSE;CLUB DEPORTIVO;CICLISMO;; PASTOR DÍAZ, 38 BAIXO;;27;LUGO;27066;VIVEIRO;606718672;667494390;;20/02/2015
C-14206;;CLUB STOCKMMA;CLUB DEPORTIVO;LOITA E D.A.;; RÚA TRECE ROSAS, 4C, 4ºD;;15;A CORUÑA;15078;SANTIAGO DE COMPOSTELA;629736520;629736520;;22/06/2021
C-00062;G15091499;S. CULTURAL D. S. CRISTOBAL DAS VIÑAS;CLUB DEPORTIVO;FÚTBOL;; AVDA. DE GLASGOW, 9;;15;A CORUÑA;15030;CORUÑA, A;981132808;679132967;;25/11/1983
C-14093;G02800647;FIGUEROA CLUB;CLUB DEPORTIVO;PIRAGÜISMO, PESCA E CASTING;; LG BELESAR - FIGUEROA S/N;;27;LUGO;27058;SAVIÑAO, O;610056774;610056774;;28/12/2020
C-00492;;SOC.DEP.CAZADORES UNION DEPORTIVA CERDEDO;CLUB DEPORTIVO;TIRO OLÍMPICO, PESCA E CASTING, CAZA, DEPORTE XERAL;PRATO FEDECAT; RUA TRASANDE 1 5C;36900;36;PONTEVEDRA;36026;MARÍN;620375320;;;08/03/1985
C-12951;;AERO DRON CLUB;CLUB DEPORTIVO;AUTOMODELISMO/RADIOCONTROL, DEPORTE XERAL;AEROMODELISMO; EDUARDO VINCENTI, 34;;36;PONTEVEDRA;36004;BUEU;675989880;;;30/05/2017
C-14207;G06904478;CLUB BALONMAN LORIGA;CLUB DEPORTIVO;BALONMÁN;; RUA PRINCIPAL 36 1null;36500;36;PONTEVEDRA;36024;LALÍN;618812801;625094740;;23/06/2021
C-14210;G06807671;ARNELA MOAÑA;CLUB DEPORTIVO;XIMNASIA;XIMNASIA RÍTMICA; RÚA VERDEAL, Nº 23 A (VER OBSERVACIÓNS);;36;PONTEVEDRA;36029;MOAÑA;696197681;;;27/06/2021
C-14204;G06931679;CLUB BALONMÁN MIÑO;CLUB DEPORTIVO;BALONMÁN;; RUA ERVEDELO 86 1c;32002;32;OURENSE;32054;OURENSE;988242899;629250350;;17/06/2021
C-14209;G06846893;DIVERTICANS;CLUB DEPORTIVO;CAZA;AGILITY; LUGAR A CENDONA, Nº 20, 2º;;36;PONTEVEDRA;36038;PONTEVEDRA;627937281;;;27/06/2021
C-07161;G27272251;CLUB DEPORTIVO BURELA FUTBOL SALA;CLUB DEPORTIVO;FÚTBOL;FÚTBOL SALA; AVENIDA ARCADIO PARDIÑAS 80 ENTRnull;27880;27;LUGO;27902;BURELA;982581815;982581151;;17/09/2001
C-14202;;C. PATÍN EUME;CLUB DEPORTIVO;PATINAXE;; LUGAR A REGUEIRA, 103;15000;15;A CORUÑA;15069;PONTEDEUME;645825125;645825125;;16/06/2021
C-14201;G70238621;TOQUES RALLY SPORT;CLUB DEPORTIVO;AUTOMOBILISMO;; LUGAR FRAGA-A CAPELA, 4;;15;A CORUÑA;15083;TOQUES;98181535;98181535;;16/06/2021
C-12527;G27827856;C.E.R. (CLUB ESCOLA ROSALÍA);CLUB DEPORTIVO;XIMNASIA, PATINAXE, BÁDMINTON;XIMNASIA RÍTMICA; CARRETERA CARRETERA DE BEMBRIVE, 91;36214;36;PONTEVEDRA;36057;VIGO;986420433;;;20/01/2016
C-09445;;ASOCIACIÓN DEPORTIVA MOSENDE;CLUB DEPORTIVO;FÚTBOL;; CAMPO FOLÓN S/N;36413;36;PONTEVEDRA;36039;PORRIÑO, O;666934729;;;14/09/2007
C-14229;G36847952;KÁRATE CLUB TRAVIESAS;CLUB DEPORTIVO;KARATE;; RÚA CHANTADA, Nº 36;;36;PONTEVEDRA;36057;VIGO;684111926;;;27/07/2021
C-14203;G06858799;PONTUS VETERIS;CLUB DEPORTIVO;XIMNASIA;XIMNASIA RÍTMICA; RUA RÚA LEANDRO DEL RÍO, Nº 12;36155;36;PONTEVEDRA;36038;PONTEVEDRA;659595417;;;17/06/2021
C-14228;G06813075;PETOTE;CLUB DEPORTIVO;ORIENTACIÓN, BÁDMINTON, DEPORTE XERAL;; LUGAR LUGAR DE CALVELO, Nº 25 B 25 B;36120;36;PONTEVEDRA;36902;CERDEDO-COTOBADE;696259838;647095600;;27/07/2021
C-05917;G36317980;JUDO C. SENIN;CLUB DEPORTIVO;LOITA E D.A., JUDO E D.A.;LOITA SAMBO, JIU-JITSU; AVENIDA DE VILAGARCÍA, 77, 1º;36630;36;PONTEVEDRA;36006;CAMBADOS;625650245;;;27/08/1998
C-07804;G15897978;CLUB BALONCESTO CULLEREDO;CLUB DEPORTIVO;BALONCESTO;; RUA RAMÓN CABANILLAS,Nº 14 14;15670;15;A CORUÑA;15031;CULLEREDO;606148460;639847213;WWW.CBCULLEREDO.ES;25/08/2003
C-05407;G27261759;CLUB VALLE DE LOUZARA;CLUB DEPORTIVO;CAZA;; PLAZA DE GALICIA, 32 3ºA;;27;LUGO;27057;SARRIA;628846913;;;03/04/1997
C-06405;G27259548;"S.D. DE CAZADORES ""A DEVESA""";CLUB DEPORTIVO;CAZA;; CASTRO DE SAN MARTÍN, 7;;27;LUGO;27049;PORTOMARÍN;659987801;982157028;;01/01/1900
C-13876;G70609292;SOCIEDAD DEPORTIVA DE PÁDEL CARBALLO;CLUB DEPORTIVO;PÁDEL;; POLIGONO RÚA COBRE, PAC. H-19, POLÍGONO BERTOA;15100;15;A CORUÑA;15019;CARBALLO;699921054;606178827;;13/01/2020
C-11250;G70337449;ESCOLA GALEGA DE ESGRIMA;CLUB DEPORTIVO;ESGRIMA;; PASEO PASEO MARÍTIMO, Nº 6-7ºC;15002;15;A CORUÑA;15030;CORUÑA, A;696491675;;;06/06/2012
C-12595;;CLUB HIPÍCO HERVILLE;CLUB DEPORTIVO;HÍPICA;; PAREDES, S/N;;36;PONTEVEDRA;36033;MOS;653996545;;;16/03/2016
C-11998;G70424494;SOCIEDADE DEPORTIVA DE CAZADORES LAGOAS;CLUB DEPORTIVO;CAZA;; C/TALAY, 12;;15;A CORUÑA;15009;BETANZOS;666763994;609321168;;22/07/2014
C-14197;G05449749;MONTOUTO CLUB DE MONTAÑA;CLUB DEPORTIVO;MONTAÑISMO;; RÚA FERROCARRIL, 13 - 1ºD;;27;LUGO;27052;RIBAS DE SIL;630208043;630208043;;31/05/2021
C-10769;G70285119;DOBOK, ESCUELA DE TAEKWONDO;CLUB DEPORTIVO;TAEKWONDO;; RUA SEBASTIÁN MARTÍNEZ RISCO, 1, BAIXO, ESQUERDA 1;15009;15;A CORUÑA;15030;CORUÑA, A;692194373;;www.dbktaekwondo.com;04/03/2011
C-00625;G36023075;CLUB DE REMO MOAÑA;CLUB DEPORTIVO;REMO;; JOSÉ COSTA ALONSO Nº 1 (NAVE DE DEPORTES NÁUTICOS);;36;PONTEVEDRA;36029;MOAÑA;666864201;;;06/09/1985
C-14227;G36926293;CLUB  LABOR;CLUB DEPORTIVO;PATINAXE, BALONCESTO;PATINAXE ARTÍSTICO; AVENIDA AVDA. CAMELIAS 53;36211;36;PONTEVEDRA;36057;VIGO;667527264;;;27/07/2021
C-13099;G27495316;MOTOPARK LUGO;CLUB DEPORTIVO;MOTOCICLISMO;; RUA  MONDOÑEDO, 32 1º DEREITA;27004;27;LUGO;27028;LUGO;686717181;686717181;;09/10/2017
C-03312;G32147886;SOCIEDADE DEPORTIVA DE CAZADORES DE VIANA DO BOLO;CLUB DEPORTIVO;CAZA;; CTRA. DA RÚA, 69;32550;32;OURENSE;32086;VIANA DO BOLO;620981877;639007559;;06/11/1991
C-11556;G27782176;YIDAM - CEIP BALAÍDOS;CLUB DEPORTIVO;TAEKWONDO;; RUA PINTOR LAXEIRO 19 4E;36211;36;PONTEVEDRA;36057;VIGO;656733698;;;15/04/2013
C-14192;G06801930;CEOSPORT;CLUB DEPORTIVO;KICKBOXING E MUAYTHAI, PÁDEL, VOLEIBOL, TENIS DE MESA, TENIS, SQUASH, PETANCA, PATINAXE, NATACIÓN, KARATE, JUDO E D.A., FÚTBOL, ;; RUA SALVADOR DE MADARIAGA, 3 local8;27002;27;LUGO;27028;LUGO;645844090;645844090;;24/05/2021
;;;;BOXEO, BALONCESTO, BÁDMINTON;;;;;;;;;;;
C-12926;G27490853;B.T.T. LAGOA DE COSPEITO;CLUB DEPORTIVO;CICLISMO;; CARBOEIRO 4;;27;LUGO;27015;COSPEITO;619891013;619891013;;09/05/2017
C-14191;G06777445;CLUB DE MONTAÑA TERRAS DE BURÓN;CLUB DEPORTIVO;ORIENTACIÓN, MONTAÑISMO, ESPELEOLOXÍA, CICLISMO;; LUGAR FORNOS DA CAL (AULA VERDE);27118;27;LUGO;27018;FONSAGRADA, A;615300066;660011716;;24/05/2021
C-03763;G36189272;S. DE CAZA LARAZO;CLUB DEPORTIVO;CAZA;; RÚA FARO, Nº 9-11, BAIXO;;15;A CORUÑA;15030;CORUÑA, A;670629867;;;13/01/1993
C-14198;G06776157;DNR 51;CLUB DEPORTIVO;CICLISMO;; CAMIÑO DA CAPELA, Nº 7;;36;PONTEVEDRA;36033;MOS;686665467;;;10/06/2021
C-13700;G70592225;ESCUDERÍA JSM COMPETICIÓN;CLUB DEPORTIVO;AUTOMOBILISMO;RALLYES; RÚA SILVA 41;;15;A CORUÑA;15022;CEDEIRA;690981618;663567061;;19/06/2019
